db_id,to,from
7,from google download a snapshot of my saved game.,GET googleapisgamesv1 players {playerId} snapshots
8,get my saved game from google. ,GET googleapisgamesv1 players {playerId} snapshots
9,remove my push token from google games.,POST googleapisgamesv1 pushtokens remove
10,from google games delete the push token.,POST googleapisgamesv1 pushtokens remove
11,from google make a new game room.,POST googleapisgamesv1 rooms create
12,from google games create a room.,POST googleapisgamesv1 rooms create
13,from google games reset all scores.,POST googleapisgamesv1management scores reset
14,reset all my scores on google games.,POST googleapisgamesv1management scores reset
15,from google games unlock this (achievementid).,POST googleapisgamesv1 achievements {achievementId} unlock
16,unlock this (achievementid) on google games.,POST googleapisgamesv1 achievements {achievementId} unlock
17,from google plus please download this (commentid).,GET googleapisplusv1 comments {commentId}
18,aura please download this (commentid) from google plus for me.,GET googleapisplusv1 comments {commentId}
19,download the list of turn-based matches i was in from google games.,GET googleapisgamesv1 turnbasedmatches
20,from google games get the list of turn-based matches i was in.,GET googleapisgamesv1 turnbasedmatches
21,upload this (resourceid) with (imagetype) extension to google games.,POST googleapisuploadgamesv1configuration images {resourceId} imageType {imageType}
22,resume the upload to this (resourceid) of this (imagetype) to google games with id [token].,POST googleapisuploadgamesv1configuration images {resourceId} imageType {imageType}
23,to google games upload this (resourceid) with (imagetype) extension.,POST googleapisuploadgamesv1configuration images {resourceId} imageType {imageType}
24,to google games resume the upload with this (resourceid) of this (imagetype) with id [token].,POST googleapisuploadgamesv1configuration images {resourceId} imageType {imageType}
25,reset all event progress from this (eventid) on google games.,POST googleapisgamesv1management events {eventId} reset
26,on google games reset all progress from this (eventid).,POST googleapisgamesv1management events {eventId} reset
27,get all the activities of (userid) in the (collection) collection from google plus.,GET googleapisplusv1 people userId activities collection
28,from google plus get my (userid) list of activities in this (collection) collection.,GET googleapisplusv1 people userId activities collection
29,what are all the achievements from my game on google games?,GET googleapisgamesv1 achievements
30,from google games get the list of my achievements.,GET googleapisgamesv1 achievements
31,insert new achievement configuration for my app (applicationid) on google games.,POST googleapisgamesv1configuration applications {applicationId} achievements
32,"aura, on google games please insert a new achievement configuration for this (applicationid).",POST googleapisgamesv1configuration applications {applicationId} achievements
33,get all the information from this (roomid) on google games.,GET googleapisgamesv1 rooms {roomId}
34,from google games please get the information on this (roomid) for me. ,GET googleapisgamesv1 rooms {roomId}
35,get the metadata for this (leaderboardid) from google games.,GET googleapisgamesv1 leaderboards {leaderboardId}
36,"google games, grab the metadata for (leaderboardid)",GET googleapisgamesv1 leaderboards {leaderboardId}
37,get the profile for {userid) for me from google-plus.,GET googleapisplusv1 people {userId}
38,"google-plus, get the user profile for (userid) for me.",GET googleapisplusv1 people {userId}
39,increase the number of steps for how close i am to (achievementid) by [numsteps] on google games.,POST googleapisgamesv1 achievements {achievementId} setStepsAtLeast
40,on google games increase the amount of steps by [numsteps] for (achievementid).,POST googleapisgamesv1 achievements {achievementId} setStepsAtLeast
41,update all the achievements for my google games.,POST googleapisgamesv1 achievements updateMultiple
42,on google games update all the achievements on my account please. ,POST googleapisgamesv1 achievements updateMultiple
43,unmute [screen_name | user_id] on twitter for me.,POST apitwitter1.1 mutes users destroy.json
44,on twitter unmute [screen_name | user_id].,POST apitwitter1.1 mutes users destroy.json
45,upload an image to google games at (resourceid) with type (imagetype).,POST googleapisuploadgamesv1configuration images {resourceId} imageType {imageType}
46,"to google games, upload to this resource (resourceid) with type (imagetype).",POST googleapisuploadgamesv1configuration images {resourceId} imageType {imageType}
47,what is my relation to [screen_name] on twitter?,GET apitwitter1.1 friendships lookup.json
48,what is my relation to [user_id] on twitter?,GET apitwitter1.1 friendships lookup.json
49,on twitter get the list of all my relations to these [screen_name] users.,GET apitwitter1.1 friendships lookup.json
50,on twitter get the list of all my relations to these [user_id] users.,GET apitwitter1.1 friendships lookup.json
51,unfavorite the last status [id] on twitter for me.,POST apitwitter1.1 favorites destroy.json
52,on twitter unfavorite this [id] status.,POST apitwitter1.1 favorites destroy.json
53,run this script (scriptid) on google scripts for me.,POST scriptgoogleapisv1 scripts {scriptId}:run
54,on google scripts run (scriptid).,POST scriptgoogleapisv1 scripts {scriptId}:run
55,get all the audience changes from {account_id} for the ad campaign on twitter.,GET adsapitwitter1 accounts {account_id} tailored_audience_changes
56,from twitter get all the audience changes for the ad campaign for account {account_id}.,GET adsapitwitter1 accounts {account_id} tailored_audience_changes
57,get all the friends from facebook who the page (page),GET graphfacebook{page}
58,from facebook get all my mutual friends of user (page).,GET graphfacebook{page}
59,get all the object types associated with this (application-id) on facebook graph.,GET graphfacebookv2.9 {application-id} object_types
60,from facebook graph what are the object types associated with this (application-id).,GET graphfacebookv2.9 {application-id} object_types
63,create a new contact with {name} name and email {email} for this (useremail) on google.,POST googlem8 feeds contacts {userEmail} full
64,update the phone number to {phonenumber} of this (contactid) contact on google please.,PUT googlem8 feeds contacts {userEmail} full {contactId}
61,get all of my contacts from google.,GET googlem8 feeds contacts {userEmail} full
62,from google get this (contactid)'s information from this (useremail) for me.,GET googlem8 feeds contacts {userEmail} full {contactId}
65,remove this contact (contactid) on this email account (useremail) for me.,DELETE googlem8 feeds contacts {userEmail} full {contactId}
66,get all the contact groups for my email on google.,GET googlem8 feeds groups {userEmail} full
67,get the information about this contact group (groupid) from my email on google.,GET  googlem8 feeds {userEmail} full {groupID}
68,delete this contact group from my email on google.,DELETE googlem8 feeds groups {userEmail} full {groupID}
69,from google get the list of contacts for this (useremail).,GET googlem8 feeds contacts {userEmail} full
70,get this (contactid)'s information from my google e-mail.,GET googlem8 feeds contacts {userEmail} full {contactId}
71,on google create a new contact for me with {email} email and phone number {phonenumber} on my account. ,POST googlem8 feeds contacts {userEmail} full
73,"aura, on google delete this contact (contactid) on my email account.",DELETE googlem8 feeds contacts {userEmail} full {contactId}
72,on google update this (contactid)'s name to {contactname}.,PUT googlem8 feeds contacts {userEmail} full {contactId}
74,on google retrieve all contact groups for this user (useremail),GET googlem8 feeds groups {userEmail} full
75,from google grab the information about this contact group (groupid) for this user (useremail).,GET  googlem8 feeds {userEmail} full {groupID}
76,on google delete this contact group (groupid) from this user {useremail}.,DELETE googlem8 feeds groups {userEmail} full {groupID}
77,create a new tailored audience for my twitter add campaign on account (accountid).,POST adsapitwitter1 accounts {account_id} tailored_audiences
78,on twitter create a new tailored audience for the ad campaign for account (accountid).,POST adsapitwitter1 accounts {account_id} tailored_audiences
79,increase the number of steps by [steps] on my achievement (achievementid) on google games.,POST googleapisgamesv1 achievements {achievementId} increment
80,for google games increase the number of steps by [steps] towards (achievementid) for me. ,POST googleapisgamesv1 achievements {achievementId} increment
81,get this comment (comment-id) from facebook.,GET graphfacebookv2.9 {comment-id}
82,delete this comment (comment-id) from facebook.,DELETE graphfacebookv2.9 {comment-id}
83,edit the message {message} in my comment (comment-id) on facebook.,POST graphfacebookv2.9 {comment-id}
85,on facebook grab this comment (comment-id) from my account. ,GET graphfacebookv2.9 {comment-id}
84,aura on my facebook account delete comment (comment-id).,DELETE graphfacebookv2.9 {comment-id}
86,"facebook, edit comment (comment-id), message {message} ",POST graphfacebookv2.9 {comment-id}
87,associate user [user_id] with line item [line_item_id] on twitter ads for account (account_id).,POST adsapitwitter1 accounts {account_id} promoted_accounts
88,for twitter ads i want [user_id] linked with [line_item_id] for account (account_id).,POST adsapitwitter1 accounts {account_id} promoted_accounts
89,get information about (place-id) from facebook for me.,GET graphfacebookv2.9 {place-id}
90,aura grab some info about (place-id) from facebook please. ,GET graphfacebookv2.9 {place-id}
91,aura what am i allowed to do on this twitter ads account (account_id),GET adsapitwitter1 accounts {account_id} features
92,on twitter ads what features does this account (account_id) have?,GET adsapitwitter1 accounts {account_id} features
93,post my score [score] to this leaderboard (leaderboardid) on google games.,POST googleapisgamesv1 leaderboards {leaderboardId} scores
94,"aura send score google leaderboard (leaderboardid), score [score].",POST googleapisgamesv1 leaderboards {leaderboardId} scores
95,get my last few favorite tweets.,GET apitwitter1.1 favorites list.json
96,for [screen_name] get their last few favorite tweets.,GET apitwitter1.1 favorites list.json
97,get all the videos made by this user (user-id) from facebook.,GET graphfacebookv2.9 {user-id} videos
98,get only the videos uploaded by (user-id) on facebook.,GET graphfacebookv2.9 {user-id} videos uploaded
99,upload this {source} to this page (page-id) for facebook.,POST graphvideofacebookv2.9 {page-id} videos
100,upload video {source} to my facebook page.,POST graphvideofacebookv2.9 {user-id} videos
101,"grab videos from (user-id), facebook",GET graphfacebookv2.9 {user-id} videos
104,upload video {video} to event page (event-id) on facebook.,POST graphvideofacebookv2.9 {event-id} videos
102,"facebook, videos (user-id) user uploaded.",GET graphfacebookv2.9 {user-id} videos uploaded
103,upload {source} to page (page-id) facebook,POST graphvideofacebookv2.9 {page-id} videos
105,"facebook, post {source} video.",POST graphvideofacebookv2.9 {user-id} videos
106,"facebook, post video {video}, event page (event-id)",POST graphvideofacebookv2.9 {event-id} videos
107,"create new application event tag for (account-id) on twitter with [app_store_identifier], [os_type] and [conversion_type].",POST adsapitwitter1 accounts {account_id} app_event_tags
108,"on twitter, create event tag for (account-id) with [app_store_identifier],[os_type] and [conversion_type].",POST adsapitwitter1 accounts {account_id} app_event_tags
109,get the count of report requests from (date) off  of mws.,POST mwsamazonservicesReports{date}
110,get mws reports request count from (date),POST mwsamazonservicesReports{date}
111,get estimated list of fees for these products and marketplaces [feesestimaterequestlist] for this (date).,POST mwsamazonservicesProducts{date}
112,"mws, for date (date) estimate list of fees for these products and marketplaces [feesestimaterequestlist]",POST mwsamazonservicesProducts{date}
113,get my (user-id) different friends lists on facebook.,GET graphfacebookv2.9 {user-id} friendlists
114,on facebook get the different friends list i (user-id) have.,GET graphfacebookv2.9 {user-id} friendlists
115,return a list of all my mws marketplace subscriptions for [marketplaceid].,POST mwsamazonservicesSubscriptions2013-07-01
