english_example,method,request_example,db_id
From google download a snapshot of my saved game.,GET,https://www.googleapis.com/games/v1/players/{playerId}/snapshots,7
Get my saved game from google. ,GET,https://www.googleapis.com/games/v1/players/{playerId}/snapshots,8
Remove my push token from google games.,POST,https://www.googleapis.com/games/v1/pushtokens/remove,9
From google games delete the push token.,POST,https://www.googleapis.com/games/v1/pushtokens/remove,10
From google make a new game room.,POST,https://www.googleapis.com/games/v1/rooms/create,11
From google games create a room.,POST,https://www.googleapis.com/games/v1/rooms/create,12
From google games reset all scores.,POST,https://www.googleapis.com/games/v1management/scores/reset,13
Reset all my scores on google games.,POST,https://www.googleapis.com/games/v1management/scores/reset,14
From google games unlock this (achievementId).,POST,https://www.googleapis.com/games/v1/achievements/{achievementId}/unlock,15
Unlock this (achievementId) on google games.,POST,https://www.googleapis.com/games/v1/achievements/{achievementId}/unlock,16
From google plus please download this (commentId).,GET,https://www.googleapis.com/plus/v1/comments/{commentId},17
Aura please download this (commentId) from google plus for me.,GET,https://www.googleapis.com/plus/v1/comments/{commentId},18
Download the list of turn-based matches I was in from google games.,GET,https://www.googleapis.com/games/v1/turnbasedmatches,19
From google games get the list of turn-based matches I was in.,GET,https://www.googleapis.com/games/v1/turnbasedmatches,20
Upload this (resourceId) with (imageType) extension to google games.,POST,https://www.googleapis.com/upload/games/v1configuration/images/{resourceId}/imageType/{imageType}?uploadType=[string],21
Resume the upload to this (resourceId) of this (imageType) to google games with id [token].,POST,https://www.googleapis.com/upload/games/v1configuration/images/{resourceId}/imageType/{imageType}?uploadType=[string]&upload_id=[token],22
To google games upload this (resourceId) with (imageType) extension.,POST,https://www.googleapis.com/upload/games/v1configuration/images/{resourceId}/imageType/{imageType}?uploadType=[string],23
To google games resume the upload with this (resourceId) of this (imageType) with id [token].,POST,https://www.googleapis.com/upload/games/v1configuration/images/{resourceId}/imageType/{imageType}?uploadType=[string]&upload_id=[token],24
Reset all event progress from this (eventId) on google games.,POST,https://www.googleapis.com/games/v1management/events/{eventId}/reset,25
On google games reset all progress from this (eventId).,POST,https://www.googleapis.com/games/v1management/events/{eventId}/reset,26
Get all the activities of (userId) in the (collection) collection from google plus.,GET,https://www.googleapis.com/plus/v1/people/userId/activities/collection,27
From google plus get my (userId) list of activities in this (collection) collection.,GET,https://www.googleapis.com/plus/v1/people/userId/activities/collection,28
What are all the achievements from my game on google games?,GET,https://www.googleapis.com/games/v1/achievements,29
From google games get the list of my achievements.,GET,https://www.googleapis.com/games/v1/achievements,30
